area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet Area,Under Construction,Adyar,2 BHK,Society4,2347,3,2,122.81
Plot Area,Ready To Move,Medavakkam,2 BHK,Society3,1144,1,3,68.74
Carpet Area,Under Construction,Anna Nagar,2 BHK,Society1,1894,2,2,51.62
Built-up Area,Ready To Move,Tambaram,4 BHK,Society4,4717,1,2,283.23
Built-up Area,Under Construction,Velachery,4 BHK,Society5,2278,2,0,120.21
Carpet Area,Ready To Move,Anna Nagar,5 BHK,Society4,4669,3,0,263.85
Carpet Area,Under Construction,Velachery,5 BHK,Society2,3044,2,2,197.58
Plot Area,Ready To Move,Medavakkam,1 BHK,Society3,1128,1,1,33.63
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society4,1834,2,3,85.16
Plot Area,Under Construction,Sholinganallur,3 BHK,Society1,2846,3,1,117.93
Built-up Area,Under Construction,Tambaram,1 BHK,Society1,1161,1,0,57.17
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society3,1806,1,0,87.45
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society3,791,1,3,30.51
Built-up Area,Ready To Move,Kodambakkam,1 BHK,Society1,616,2,0,41.19
Carpet Area,Under Construction,Tambaram,2 BHK,Society4,1608,3,1,97.31
Carpet Area,Ready To Move,Medavakkam,1 BHK,Society3,1180,1,1,49.26
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society3,3565,5,3,224.7
Plot Area,Ready To Move,T. Nagar,1 BHK,Society3,842,2,2,50.7
Plot Area,Ready To Move,Velachery,3 BHK,Society5,2598,2,2,98.32
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society1,1969,4,1,109.2
Plot Area,Under Construction,T. Nagar,4 BHK,Society1,2147,2,2,63.19
Plot Area,Under Construction,Kodambakkam,4 BHK,Society3,3302,1,0,178.59
Built-up Area,Ready To Move,Kodambakkam,5 BHK,Society2,5235,1,2,175.4
Plot Area,Under Construction,Adyar,2 BHK,Society1,1294,3,1,57.65
Built-up Area,Under Construction,Sholinganallur,5 BHK,Society4,3094,3,3,134.83
Plot Area,Under Construction,Adyar,3 BHK,Society1,2613,3,2,156.42
Built-up Area,Under Construction,Sholinganallur,1 BHK,Society4,529,2,1,29.92
Plot Area,Ready To Move,Kodambakkam,2 BHK,Society3,2144,2,1,96.92
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society5,3115,2,0,118.92
Built-up Area,Under Construction,Velachery,2 BHK,Society2,2183,3,0,107.41
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society5,955,1,3,40.28
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society4,1833,1,0,74.33
Carpet Area,Under Construction,Adyar,2 BHK,Society3,1594,2,3,95.86
Built-up Area,Under Construction,Tambaram,5 BHK,Society1,3605,1,2,111.93
Carpet Area,Ready To Move,Sholinganallur,5 BHK,Society3,2536,1,0,148.44
Carpet Area,Ready To Move,Sholinganallur,4 BHK,Society5,2640,3,3,118.17
Carpet Area,Under Construction,T. Nagar,3 BHK,Society4,3521,2,2,131.68
Carpet Area,Under Construction,Anna Nagar,5 BHK,Society2,5136,1,1,357.92
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society4,2119,2,1,92.12
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society2,2316,5,1,100.48
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society5,3783,1,2,255.46
Plot Area,Under Construction,Velachery,2 BHK,Society3,1400,3,2,89.64
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society2,2069,3,3,123.96
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society1,4411,5,2,290.91
Built-up Area,Ready To Move,Sholinganallur,2 BHK,Society5,1075,2,1,41.53
Plot Area,Under Construction,Medavakkam,2 BHK,Society4,2210,3,0,82.22
Plot Area,Under Construction,Sholinganallur,1 BHK,Society4,1073,2,1,28.82
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society3,3012,3,1,148.62
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society3,3529,1,2,172.74
Plot Area,Ready To Move,Velachery,4 BHK,Society2,2259,2,3,146.88
Plot Area,Under Construction,T. Nagar,4 BHK,Society4,2607,5,0,89.89
Plot Area,Under Construction,Medavakkam,4 BHK,Society1,4725,5,3,148.34
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society4,4065,5,1,255.81
Carpet Area,Under Construction,Velachery,5 BHK,Society1,5491,3,3,194.96
Plot Area,Under Construction,Anna Nagar,4 BHK,Society4,2007,5,2,75.67
Plot Area,Under Construction,Adyar,5 BHK,Society5,4690,3,1,184.33
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society2,2912,5,1,194.44
Carpet Area,Under Construction,Medavakkam,5 BHK,Society1,5670,2,0,208.15
Carpet Area,Under Construction,Medavakkam,4 BHK,Society1,4358,4,1,235.94
Plot Area,Under Construction,Medavakkam,1 BHK,Society1,1042,1,2,57.32
Carpet Area,Ready To Move,Medavakkam,5 BHK,Society5,5684,2,3,173.34
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society2,1911,4,1,107.26
Carpet Area,Ready To Move,Thiruvanmiyur,4 BHK,Society1,2226,3,3,150.33
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society3,1236,3,0,56.47
Carpet Area,Under Construction,Kodambakkam,5 BHK,Society2,4042,4,0,164.88
Carpet Area,Ready To Move,Thiruvanmiyur,4 BHK,Society2,3166,3,2,113.17
Built-up Area,Under Construction,Tambaram,2 BHK,Society2,1501,3,1,38.45
Built-up Area,Ready To Move,Velachery,5 BHK,Society1,3099,2,3,202.53
Carpet Area,Under Construction,Thiruvanmiyur,4 BHK,Society3,2607,3,3,121.54
Carpet Area,Ready To Move,Kodambakkam,3 BHK,Society1,2216,1,1,113.0
Built-up Area,Under Construction,Velachery,5 BHK,Society2,4145,4,2,159.66
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,1439,3,0,97.48
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society5,1049,2,2,55.98
Plot Area,Under Construction,Kodambakkam,2 BHK,Society1,1270,2,1,71.44
Carpet Area,Under Construction,Adyar,3 BHK,Society3,2291,1,2,159.58
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society1,3777,1,3,199.46
Carpet Area,Under Construction,Adyar,4 BHK,Society3,3243,4,1,214.14
Plot Area,Ready To Move,Velachery,1 BHK,Society1,656,2,1,42.26
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society1,810,1,3,56.34
Carpet Area,Under Construction,Thiruvanmiyur,3 BHK,Society5,3257,4,3,162.04
Built-up Area,Ready To Move,Medavakkam,2 BHK,Society3,1410,2,1,60.02
Built-up Area,Under Construction,Tambaram,4 BHK,Society4,2245,5,2,148.14
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society4,527,2,1,18.88
Carpet Area,Ready To Move,Velachery,3 BHK,Society3,3069,2,3,147.46
Plot Area,Under Construction,Sholinganallur,4 BHK,Society1,3518,5,3,218.06
Plot Area,Under Construction,Anna Nagar,1 BHK,Society5,1048,1,0,46.48
Carpet Area,Ready To Move,Thiruvanmiyur,3 BHK,Society5,3096,1,2,190.02
Built-up Area,Under Construction,Tambaram,5 BHK,Society3,3830,2,2,219.18
Carpet Area,Ready To Move,Thiruvanmiyur,5 BHK,Society4,5743,1,2,391.46
Built-up Area,Ready To Move,Tambaram,3 BHK,Society5,2321,4,2,65.87
Plot Area,Under Construction,Medavakkam,5 BHK,Society4,4110,4,1,113.48
Plot Area,Under Construction,Sholinganallur,1 BHK,Society2,828,1,2,47.17
Built-up Area,Under Construction,Tambaram,4 BHK,Society2,4469,1,2,247.22
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society5,4114,4,3,220.09
Built-up Area,Under Construction,T. Nagar,5 BHK,Society1,5195,2,3,315.96
Plot Area,Ready To Move,Tambaram,4 BHK,Society3,3202,5,1,206.31
Plot Area,Ready To Move,Velachery,2 BHK,Society5,2170,3,1,144.36
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society4,2613,1,0,133.12
Plot Area,Under Construction,Tambaram,4 BHK,Society4,2913,3,3,80.92
Plot Area,Under Construction,Sholinganallur,2 BHK,Society2,2137,2,1,62.69
Plot Area,Under Construction,Nungambakkam,1 BHK,Society2,861,2,3,43.91
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society5,2694,1,0,132.94
Built-up Area,Under Construction,Nungambakkam,2 BHK,Society5,2217,1,1,61.44
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,1178,2,1,56.27
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society3,1173,1,0,32.2
Built-up Area,Ready To Move,Adyar,4 BHK,Society4,4201,5,0,105.61
Plot Area,Under Construction,T. Nagar,2 BHK,Society2,2340,3,3,133.75
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society1,1141,1,2,32.93
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society5,2009,3,1,62.71
Carpet Area,Ready To Move,Nungambakkam,2 BHK,Society1,1199,3,0,39.95
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society2,3874,3,1,115.54
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society5,2100,3,3,98.81
Built-up Area,Ready To Move,Adyar,4 BHK,Society2,3449,5,0,142.02
Plot Area,Under Construction,Kodambakkam,5 BHK,Society3,4559,3,2,243.2
Plot Area,Under Construction,Thiruvanmiyur,2 BHK,Society5,2215,1,1,68.9
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society5,2515,1,3,146.2
Plot Area,Ready To Move,Adyar,2 BHK,Society4,1054,2,0,51.53
Plot Area,Under Construction,Thiruvanmiyur,5 BHK,Society1,3332,2,3,93.23
Built-up Area,Under Construction,Nungambakkam,5 BHK,Society4,4448,5,2,192.81
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society1,3754,2,2,165.35
Plot Area,Ready To Move,Tambaram,4 BHK,Society3,3615,4,2,226.12
Plot Area,Ready To Move,Tambaram,2 BHK,Society5,1670,1,3,56.22
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society1,889,2,1,32.41
Built-up Area,Ready To Move,T. Nagar,5 BHK,Society3,4411,4,1,117.62
Carpet Area,Under Construction,Adyar,1 BHK,Society1,651,1,3,31.07
Plot Area,Ready To Move,Tambaram,2 BHK,Society4,1431,3,0,82.57
Carpet Area,Under Construction,Adyar,5 BHK,Society3,2854,2,1,125.34
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society2,4400,1,2,306.73
Plot Area,Under Construction,T. Nagar,2 BHK,Society3,2039,3,2,82.17
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society5,1164,2,3,47.05
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society2,3089,1,2,180.44
Plot Area,Ready To Move,Velachery,4 BHK,Society1,2487,2,1,150.75
Carpet Area,Ready To Move,Kodambakkam,5 BHK,Society1,3305,2,1,208.06
Plot Area,Under Construction,Velachery,4 BHK,Society2,3810,4,1,262.01
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society5,3151,3,3,181.15
Carpet Area,Under Construction,Nungambakkam,4 BHK,Society1,2030,5,2,64.41
Carpet Area,Under Construction,Kodambakkam,5 BHK,Society2,4147,4,2,263.22
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society2,4969,1,0,231.88
Plot Area,Under Construction,Kodambakkam,4 BHK,Society2,2634,4,1,70.93
Built-up Area,Ready To Move,T. Nagar,2 BHK,Society5,1548,3,0,81.69
Plot Area,Ready To Move,Kodambakkam,4 BHK,Society4,4732,3,0,327.62
Built-up Area,Under Construction,Tambaram,2 BHK,Society2,1155,1,0,56.62
Built-up Area,Ready To Move,Adyar,5 BHK,Society1,5298,1,3,150.23
Plot Area,Under Construction,Tambaram,5 BHK,Society2,5662,3,0,208.46
Plot Area,Ready To Move,Anna Nagar,1 BHK,Society5,705,2,0,36.77
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society2,1176,2,3,64.46
Carpet Area,Ready To Move,Nungambakkam,5 BHK,Society4,4847,3,2,150.84
Built-up Area,Ready To Move,Tambaram,4 BHK,Society2,4114,2,1,135.86
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society2,1950,3,1,125.56
Built-up Area,Ready To Move,T. Nagar,2 BHK,Society5,1595,1,2,92.86
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society1,2062,3,0,62.57
Plot Area,Under Construction,Kodambakkam,4 BHK,Society2,4099,4,2,242.09
Plot Area,Ready To Move,Adyar,4 BHK,Society4,4774,5,2,189.06
Carpet Area,Under Construction,Thiruvanmiyur,1 BHK,Society4,604,1,3,17.31
Plot Area,Ready To Move,T. Nagar,4 BHK,Society3,2689,5,0,149.31
Plot Area,Under Construction,Kodambakkam,3 BHK,Society3,1605,4,3,74.45
Carpet Area,Under Construction,Kodambakkam,4 BHK,Society1,3659,3,1,126.49
Carpet Area,Under Construction,Kodambakkam,3 BHK,Society5,2640,3,0,94.14
Carpet Area,Ready To Move,Tambaram,1 BHK,Society3,1080,1,2,74.86
Built-up Area,Under Construction,Adyar,5 BHK,Society2,3391,4,1,172.47
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society5,520,1,0,32.32
Built-up Area,Under Construction,Anna Nagar,1 BHK,Society5,1016,1,2,57.82
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society1,2661,2,1,67.47
Carpet Area,Under Construction,Thiruvanmiyur,5 BHK,Society2,2511,2,3,138.54
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society2,1116,1,0,38.34
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society2,2037,3,1,59.74
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society2,1498,1,0,102.93
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society3,1114,1,0,65.74
Built-up Area,Under Construction,Adyar,5 BHK,Society1,3058,4,2,203.8
Carpet Area,Under Construction,Kodambakkam,2 BHK,Society4,1528,3,0,49.99
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society4,2921,2,3,185.33
Carpet Area,Ready To Move,Thiruvanmiyur,5 BHK,Society1,3765,4,2,257.01
Plot Area,Under Construction,Medavakkam,4 BHK,Society2,2178,2,3,84.0
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society5,3612,2,1,153.65
Built-up Area,Under Construction,Anna Nagar,1 BHK,Society1,1049,2,2,43.48
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society2,1464,2,2,58.6
Built-up Area,Under Construction,Anna Nagar,4 BHK,Society5,3988,3,0,134.57
Plot Area,Under Construction,Velachery,3 BHK,Society1,3584,4,1,182.14
Carpet Area,Under Construction,T. Nagar,5 BHK,Society5,4281,3,1,234.35
Carpet Area,Ready To Move,Medavakkam,1 BHK,Society4,565,1,3,23.21
Carpet Area,Under Construction,Nungambakkam,5 BHK,Society3,4440,2,1,286.93
Built-up Area,Under Construction,Tambaram,3 BHK,Society5,3294,1,0,201.82
Plot Area,Under Construction,Velachery,2 BHK,Society5,2149,2,3,95.99
Built-up Area,Under Construction,Nungambakkam,2 BHK,Society2,2042,3,3,124.56
Carpet Area,Under Construction,Thiruvanmiyur,3 BHK,Society2,3440,1,0,148.2
Plot Area,Ready To Move,Adyar,4 BHK,Society5,2348,3,3,102.53
Carpet Area,Under Construction,Kodambakkam,1 BHK,Society3,930,1,1,53.65
Built-up Area,Under Construction,Thiruvanmiyur,1 BHK,Society4,873,2,3,33.02
Built-up Area,Ready To Move,Tambaram,5 BHK,Society4,3325,2,1,106.85
Carpet Area,Under Construction,Thiruvanmiyur,3 BHK,Society1,2801,4,3,186.55
Plot Area,Under Construction,Tambaram,4 BHK,Society1,3591,2,0,201.97
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society1,5449,2,2,369.44
Plot Area,Under Construction,Adyar,3 BHK,Society2,2506,2,3,82.76
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society2,1185,2,0,79.6
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society2,2785,3,3,152.38
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society5,2640,3,1,121.6
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society1,2989,5,0,80.49
Plot Area,Ready To Move,Sholinganallur,5 BHK,Society1,3409,3,3,135.68
Carpet Area,Under Construction,Adyar,1 BHK,Society2,1054,2,3,59.19
Plot Area,Under Construction,Adyar,3 BHK,Society3,3402,3,0,181.54
Plot Area,Ready To Move,Medavakkam,4 BHK,Society1,3766,2,1,237.65
Built-up Area,Under Construction,Medavakkam,1 BHK,Society2,953,1,0,28.68
Plot Area,Ready To Move,Medavakkam,2 BHK,Society3,1527,3,2,48.16
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society1,2887,4,0,103.46
Carpet Area,Under Construction,Nungambakkam,2 BHK,Society1,1366,3,3,94.79
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society3,3372,3,1,171.77
Plot Area,Under Construction,T. Nagar,1 BHK,Society3,549,2,0,31.71
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society1,2322,3,1,86.87
Plot Area,Ready To Move,Sholinganallur,2 BHK,Society3,1288,1,2,86.24
Carpet Area,Ready To Move,Medavakkam,4 BHK,Society1,3090,1,3,203.55
Carpet Area,Under Construction,Velachery,3 BHK,Society1,3217,4,0,175.35
Carpet Area,Under Construction,Tambaram,1 BHK,Society4,949,1,3,55.94
Plot Area,Under Construction,Adyar,3 BHK,Society5,2776,1,0,113.08
Carpet Area,Under Construction,Tambaram,5 BHK,Society4,4572,3,3,222.01
Built-up Area,Under Construction,Sholinganallur,1 BHK,Society3,671,1,0,19.42
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society4,873,2,1,59.4
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society4,986,2,2,34.74
Built-up Area,Ready To Move,Anna Nagar,4 BHK,Society5,4337,1,0,133.51
Built-up Area,Under Construction,Tambaram,3 BHK,Society5,1527,4,2,89.89
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society4,4086,2,1,226.37
Built-up Area,Ready To Move,Kodambakkam,2 BHK,Society5,2111,2,2,74.32
Built-up Area,Under Construction,T. Nagar,3 BHK,Society3,2127,3,0,146.63
Plot Area,Under Construction,Tambaram,1 BHK,Society5,965,2,3,55.23
Carpet Area,Under Construction,Medavakkam,3 BHK,Society3,3274,1,1,202.25
Built-up Area,Ready To Move,Velachery,5 BHK,Society3,3583,3,3,137.41
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society4,4951,2,2,247.6
Built-up Area,Under Construction,Velachery,3 BHK,Society1,3082,4,1,147.62
Carpet Area,Under Construction,Medavakkam,2 BHK,Society4,1283,1,2,86.98
Carpet Area,Ready To Move,Thiruvanmiyur,4 BHK,Society2,2918,1,3,119.65
Built-up Area,Under Construction,Tambaram,5 BHK,Society3,3178,3,1,108.5
Built-up Area,Under Construction,Tambaram,1 BHK,Society1,541,2,3,33.27
Carpet Area,Under Construction,Velachery,3 BHK,Society5,2196,1,3,70.11
Built-up Area,Ready To Move,Medavakkam,2 BHK,Society2,1307,3,1,73.55
Plot Area,Ready To Move,Thiruvanmiyur,1 BHK,Society3,1146,2,2,36.61
Carpet Area,Under Construction,Kodambakkam,4 BHK,Society2,2354,3,3,114.45
Built-up Area,Under Construction,T. Nagar,2 BHK,Society3,1633,1,0,96.02
Carpet Area,Ready To Move,Tambaram,2 BHK,Society2,1903,1,3,74.16
Plot Area,Under Construction,Anna Nagar,2 BHK,Society3,2351,1,1,64.7
Plot Area,Ready To Move,Tambaram,2 BHK,Society4,2080,3,1,71.37
Built-up Area,Under Construction,Anna Nagar,1 BHK,Society3,625,1,1,30.22
Carpet Area,Under Construction,T. Nagar,2 BHK,Society4,2252,1,3,94.13
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society5,3270,2,1,105.25
Plot Area,Ready To Move,Medavakkam,2 BHK,Society3,1327,3,0,68.96
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society5,1903,2,1,66.6
Plot Area,Under Construction,Adyar,5 BHK,Society1,3825,5,2,266.47
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society4,2675,2,1,102.86
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society2,537,1,3,33.44
Built-up Area,Ready To Move,Adyar,4 BHK,Society3,3323,1,1,161.17
Built-up Area,Under Construction,T. Nagar,3 BHK,Society2,2717,2,3,145.76
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society2,570,2,3,19.52
Plot Area,Under Construction,Sholinganallur,5 BHK,Society4,3241,3,3,178.61
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society3,1955,2,2,111.41
Plot Area,Under Construction,Medavakkam,5 BHK,Society3,4836,2,2,159.15
Plot Area,Under Construction,Adyar,3 BHK,Society1,3554,2,2,216.36
Carpet Area,Under Construction,Kodambakkam,5 BHK,Society4,5311,5,3,364.0
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society2,3539,1,0,125.0
Built-up Area,Under Construction,Tambaram,5 BHK,Society1,2582,5,0,119.85
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society1,3434,3,0,170.64
Plot Area,Under Construction,Medavakkam,4 BHK,Society3,4413,5,1,142.49
Plot Area,Under Construction,Nungambakkam,1 BHK,Society2,575,1,3,35.12
Plot Area,Under Construction,Medavakkam,5 BHK,Society4,3115,5,1,202.79
Carpet Area,Under Construction,Nungambakkam,4 BHK,Society3,3220,1,1,224.38
Carpet Area,Ready To Move,Kodambakkam,3 BHK,Society2,3339,1,2,100.62
Plot Area,Ready To Move,Adyar,1 BHK,Society3,1103,1,0,44.28
Carpet Area,Ready To Move,Medavakkam,1 BHK,Society1,1159,1,1,35.92
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society3,2326,3,2,146.47
Plot Area,Ready To Move,Adyar,3 BHK,Society5,2578,1,2,164.22
Carpet Area,Ready To Move,Velachery,5 BHK,Society4,4961,3,3,185.6
Built-up Area,Under Construction,Sholinganallur,3 BHK,Society1,3178,2,3,221.63
Built-up Area,Ready To Move,Kodambakkam,2 BHK,Society2,1223,2,1,45.0
Carpet Area,Under Construction,Nungambakkam,1 BHK,Society1,719,1,0,48.54
Plot Area,Under Construction,Sholinganallur,3 BHK,Society4,2812,2,3,153.5
Built-up Area,Ready To Move,Kodambakkam,1 BHK,Society2,895,2,1,31.12
Carpet Area,Ready To Move,Tambaram,1 BHK,Society5,951,2,3,36.55
Carpet Area,Under Construction,Thiruvanmiyur,2 BHK,Society3,2061,1,0,140.9
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society1,1606,3,0,83.0
Built-up Area,Ready To Move,Thiruvanmiyur,5 BHK,Society2,5539,5,0,294.88
Built-up Area,Under Construction,Velachery,1 BHK,Society3,907,2,3,58.11
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society3,5073,4,2,206.42
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society4,632,2,1,20.72
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society3,4259,3,0,123.71
Plot Area,Ready To Move,Velachery,4 BHK,Society1,2630,5,0,180.48
Plot Area,Ready To Move,Medavakkam,1 BHK,Society3,1008,1,0,59.87
Carpet Area,Under Construction,Velachery,3 BHK,Society1,1602,4,1,52.51
Built-up Area,Ready To Move,Kodambakkam,4 BHK,Society3,3235,2,2,166.56
Built-up Area,Ready To Move,Velachery,1 BHK,Society1,786,1,1,48.21
Plot Area,Ready To Move,Adyar,5 BHK,Society4,5620,3,1,328.24
Built-up Area,Ready To Move,Adyar,3 BHK,Society3,2139,1,3,53.85
Built-up Area,Ready To Move,Adyar,2 BHK,Society3,1860,2,2,96.59
Built-up Area,Under Construction,Medavakkam,3 BHK,Society4,2465,4,0,66.3
Built-up Area,Under Construction,Adyar,2 BHK,Society1,1559,2,1,80.88
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society3,1211,3,3,49.56
Carpet Area,Under Construction,Tambaram,5 BHK,Society3,3388,3,1,133.83
Built-up Area,Under Construction,Adyar,3 BHK,Society2,2074,3,1,95.26
Built-up Area,Ready To Move,Kodambakkam,5 BHK,Society1,3395,4,1,195.46
Carpet Area,Under Construction,Anna Nagar,5 BHK,Society4,5510,5,0,213.94
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society2,3124,1,3,206.33
Carpet Area,Under Construction,Medavakkam,3 BHK,Society1,3535,2,0,123.81
Built-up Area,Under Construction,Thiruvanmiyur,3 BHK,Society2,2986,4,1,167.05
Plot Area,Ready To Move,Sholinganallur,3 BHK,Society5,2779,1,2,108.65
Plot Area,Ready To Move,Medavakkam,5 BHK,Society4,5632,5,2,382.05
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society3,3142,3,0,192.65
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,1951,3,1,79.88
Plot Area,Ready To Move,Anna Nagar,1 BHK,Society2,834,1,2,47.88
Built-up Area,Ready To Move,Velachery,5 BHK,Society1,4377,4,1,255.25
Built-up Area,Under Construction,Kodambakkam,3 BHK,Society5,1611,2,1,98.53
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society1,1895,2,3,125.1
